Procede Data Log
OpenFlash Data File 1
14
Time[s],Engine Speed,Throttle,MAF Voltage,Engine Load,Knock Corr.,Ignition adv,KC Learned,AFR,ST Fuel Trim,LT Fuel Trim,Adv Multiplier,FLKC,Oil Temp.,Command AFR
0,1809.25,1.91,1.52,0.18,0,42.5,0,13.55,-6.25,0,1,0,206.6,14.94
0.10,1831.25,1.93,1.53,0.18,0,42.5,0,15.04,-3.12,0,1,0,206.6,14.82
0.20,1841,1.83,1.53,0.18,0,43,0,15.27,-2.34,0,1,0,206.6,14.82
0.30,1840,1.8,1.53,0.18,0,43,0,15.27,-2.34,0,1,0,206.6,14.82
0.40,1841,1.83,1.53,0.17,0,43,0,15.27,-1.56,0,1,0,206.6,14.82
0.51,1852.5,1.66,1.52,0.17,0,43,0,15.16,-0.78,0,1,0,206.6,14.82
0.61,1852.5,1.63,1.52,0.17,0,43,0,15.04,-0.78,0,1,0,206.6,14.82
0.71,1856,1.62,1.52,0.17,0,43,0,15.04,-0.78,0,1,0,206.6,14.82
0.82,1867.5,1.44,1.51,0.17,0,43.5,0,14.93,-0.78,0,1,0,206.6,14.82
0.92,1871,1.44,1.5,0.16,0,43.5,0,14.81,-0.78,0,1,0,206.6,14.82
1.02,1871,1.47,1.5,0.16,0,43.5,0,14.81,0,0,1,0,206.6,14.82
1.12,1880,1.42,1.5,0.16,0,43.5,0,14.7,0,0,1,0,206.6,14.82
1.22,1887,1.36,1.5,0.16,0,44,0,14.7,0,0,1,0,206.6,14.82
1.32,1887.75,1.1,1.48,0.15,0,43,0,14.7,0,0,1,0,206.6,14.82
1.42,1889.25,1.03,1.47,0.15,0,42,0,14.7,0,0,1,0,206.6,14.82
1.52,1895.25,1.37,1.47,0.15,0,40.5,0,14.7,0,0,1,0,206.6,15.06
1.62,1879.75,0.92,1.43,0.14,0,37,0,14.7,0,0,1,0,206.6,15.06
1.72,1862.5,0.89,1.41,0.13,0,35.5,0,14.59,0,0,1,0,206.6,15.06
1.82,1912.5,0.58,1.39,0.13,0,34.5,0,14.36,0,0,1,0,206.6,15.06
1.92,1906,0.58,1.39,0.12,0,34,0,14.24,0,0,1,0,206.6,15.06
2.02,1882,0.6,1.39,0.12,0,34,0,14.59,0,0,1,0,206.6,15.06
2.12,1920.75,0.37,1.39,0.12,0,34,0,14.59,0,0,1,0,206.6,15.06
2.22,1907.5,0.36,1.38,0.12,0,34,0,15.04,0,0,1,0,206.6,15.06
2.33,1895.5,0.25,1.36,0.11,0,34,0,15.96,0,0,1,0,206.6,15.06
2.43,1891,0,1.35,0.11,0,34,0,19.06,0,0,1,0,206.6,15.06
2.53,1889.25,0,1.33,0.11,0,34.5,0,20.33,0,-0.78,1,0,206.6,15.06
2.63,1892.5,0,1.32,0.1,0,34.5,0,20.33,0,-0.78,1,0,206.6,15.06
2.73,1879,0,1.33,0.1,0,35,0,20.33,0,-0.78,1,0,206.6,15.06
2.83,1884.5,0,1.32,0.1,0,34.5,0,20.33,0,-0.78,1,0,206.6,15.06
2.94,1873,0,1.33,0.1,0,34.5,0,20.33,0,-0.78,1,0,206.6,15.06
3.04,1875.25,0,1.33,0.1,0,34.5,0,20.33,0,-0.78,1,0,206.6,15.06
3.15,1865.5,0,1.33,0.1,0,34.5,0,20.33,0,-0.78,1,0,206.6,15.06
3.25,1864.5,0,1.33,0.1,0,34.5,0,20.33,0,-0.78,1,0,206.6,15.06
3.36,1859,0,1.33,0.1,0,34.5,0,20.33,0,-0.78,1,0,206.6,15.06
3.47,1853.25,0,1.33,0.11,0,35,0,20.33,0,-0.78,1,0,206.6,15.06
3.57,1843.75,0,1.33,0.11,0,34.5,0,20.33,0,-0.78,1,0,206.6,15.06
3.67,1836.75,0,1.33,0.11,0,34.5,0,20.33,0,-0.78,1,0,206.6,15.06
3.77,1843,0,1.33,0.11,0,34.5,0,20.33,0,-0.78,1,0,206.6,15.06
3.88,1824,0,1.33,0.11,0,35.5,0,20.33,0,-0.78,1,0,206.6,15.06
3.98,1833.5,0,1.33,0.11,0,34.5,0,20.33,0,-0.78,1,0,206.6,15.06
4.08,1820,0,1.33,0.11,0,35,0,20.33,0,-0.78,1,0,204.8,15.06
4.18,1813.75,0,1.33,0.11,0,35.5,0,20.33,0,-0.78,1,0,204.8,15.06
4.28,1824,0,1.32,0.11,0,34,0,20.33,0,-0.78,1,0,204.8,15.06
4.38,1816.5,1.32,1.37,0.11,0,34.5,0,20.33,0,0,1,0,204.8,15.06
4.49,1828,4.2,1.58,0.19,0,36.5,0,20.33,0,0,1,0,204.8,15.06
4.60,1850.5,9.31,2.13,0.41,0,38,0,20.33,0,0,1,0,204.8,15.06
4.70,1878,33.33,3.2,0.83,0,1.5,3.16,20.33,0,3.12,1,0,204.8,15.06
4.80,1896,42.92,2.46,0.99,0,14,3.25,20.33,0,3.12,1,0,204.8,15.06
4.90,1889,59.35,2.49,0.88,0,6,3.44,13.55,-0.78,3.12,1,0,204.8,15.06
5.00,1950,86.01,2.65,1.04,0,9,3.53,13.67,0,3.12,1,0,204.8,13.88
5.11,2002.5,96.44,2.68,1.16,0,6.5,3.56,13.67,0,2.34,1,0,204.8,12.82
5.21,2015.25,96.6,2.59,1.17,0,10,3.56,14.13,0,2.34,1,0,204.8,12.82
5.31,2084,96.58,2.71,1.1,0,10.5,3.56,14.01,0,2.34,1,0,204.8,12.82
5.41,2099.5,96.56,2.56,1.08,0,11.5,3.56,13.9,0,2.34,1,0,204.8,12.82
5.52,2165.5,96.54,2.83,1.14,0,12,3.56,13.9,0,2.34,1,0,204.8,12.82
5.62,2219,96.62,2.89,1.16,0,12.5,3.59,13.67,0,2.34,1,0,204.8,12.82
5.72,2243.5,96.6,2.77,1.23,0,11.5,3.78,13.78,0,2.34,1,0,204.8,12.82
5.82,2312,96.58,2.92,1.07,0,11.5,3.94,13.21,0,2.34,1,0,204.8,12.82
5.92,2353.25,96.67,2.8,1.07,0,11.5,4,13.21,0,2.34,1,0,204.8,12.82
6.03,2397.75,96.53,2.87,1.41,0,11,4.09,13.09,0,2.34,1,0,204.8,12.71
6.13,2460.5,96.4,2.98,1.24,0,11.5,4.19,12.86,0,2.34,1,0,204.8,12.71
6.23,2488.5,96.34,2.89,1.18,0,12.5,4.22,12.52,0,2.34,1,0,204.8,12.71
6.33,2571,96.31,2.85,1.17,0,13.5,4.22,12.63,0,0,1,0,204.8,12.59
6.44,2596,96.08,3.05,1.23,0,14.5,4.28,12.75,0,0,1,0,204.8,12.59
6.54,2694.5,96.03,3.06,1.28,0,15.5,4.38,12.86,0,0,1,0,204.8,12.59
6.64,2709.5,95.72,2.88,1.11,0,16,4.44,12.75,0,0,1,0,204.8,12.59
6.74,2797,95.51,2.99,1.11,0,17,4.56,12.86,0,0,1,0,204.8,12.59
6.84,2829.5,95.46,2.96,1.16,0,18,4.69,12.86,0,0,1,0,204.8,12.59
6.94,2845,95.42,2.94,1.08,0,18.5,4.75,12.75,0,0,1,0,204.8,12.59
7.05,2966.25,95.23,2.99,1.06,0,18.5,4.84,12.63,0,0,1,0,204.8,12.47
7.15,2993.5,94.92,2.97,1.17,0,19,4.94,12.52,0,0,1,0,204.8,12.47
7.25,3053.25,95,2.99,1.1,0,19.5,5.03,12.52,0,0,1,0,204.8,12.47
7.35,3104.5,95.25,3.02,1.12,0,19.5,5.12,12.06,0,0,1,0,204.8,12.47
7.45,3136.25,95.33,3.09,1.17,0,20,5.22,11.94,0,0,1,0,204.8,12.47
7.55,3206.5,95.47,3.06,1.18,0,20.5,5.28,12.06,0,0,1,0,204.8,12.47
7.65,3254,95.49,3.07,1.11,0,20.5,5.31,11.83,0,0,1,0,204.8,12.47
7.75,3302.75,95.71,3.05,1.16,0,21,5.38,11.83,0,0,1,0,204.8,12.47
7.85,3357,95.73,3.09,1.16,0,21,5.44,11.71,0,0,1,0,204.8,12.47
7.95,3390.25,95.89,3.13,1.1,0,21.5,5.47,11.6,0,0,1,0,204.8,12.47
8.06,3492.5,95.79,3.1,1.17,0,22,5.53,11.6,0,0,1,0,204.8,12.47
8.17,3535.75,95.94,3.13,1.11,0,22.5,5.56,11.37,0,0,1,0,204.8,12.47
8.27,3558,95.91,3.17,1.13,0,22.5,5.59,11.37,0,0,1,0,204.8,12.47
8.37,3627.25,96.03,3.1,1.02,0,23,5.62,11.37,0,0,1,0,204.8,12.47
8.48,3687,96.16,3.18,1.03,0,23.5,5.62,11.25,0,0,1,0,204.8,12.47
8.58,3757,96.21,3.2,1.17,0,23.5,5.62,11.37,0,0,1,0,204.8,12.47
8.68,3784.75,96.25,3.18,1.11,0,24,5.62,11.48,0,0,1,0,204.8,12.47
8.78,3822.75,96.25,3.17,1.06,0,25,5.62,11.6,0,0,1,0,204.8,12.47
8.88,3890,96.18,3.3,1.1,0,25,5.62,11.6,0,0,1,0,204.8,12.47
8.99,3948.75,95.92,3.3,1.1,0,25,5.62,11.71,0,0,1,0,204.8,12.47
9.09,3994,95.92,3.26,1.13,0,25.5,5.62,11.94,0,0,1,0,204.8,12.47
9.20,4052.75,95.79,3.28,1.17,0,25.5,5.62,12.06,0,0,1,0,204.8,12.47
9.30,4120.5,95.58,3.3,1.18,0,25.5,5.62,12.06,0,0,1,0,204.8,12.47
9.40,4144.5,95.34,3.31,1.1,0,26,5.62,12.17,0,0,1,0,204.8,12.47
9.50,4219.5,95.29,3.33,1.14,0,26,5.62,11.94,0,0,1,0,204.8,12.47
9.60,4244.25,95.07,3.33,1.13,0,26,5.62,11.94,0,0,1,0,204.8,12.35
9.70,4324.25,94.73,3.38,1.1,0,26.5,5.62,11.94,0,0,1,0,204.8,12.35
9.80,4361.5,94.8,3.38,1.17,0,26.5,5.62,11.94,0,0,1,0,204.8,12.35
9.90,4416.5,94.47,3.38,1.1,0,26.5,5.62,12.06,0,0,1,0,204.8,12.35
10.00,4481.75,94.32,3.42,1.12,0,26.5,5.62,11.94,0,0,1,0,204.8,12.35
10.10,4537.5,94.06,3.51,1.19,0,27,5.62,11.83,0,0,1,0,204.8,12.35
10.20,4590.75,93.72,3.4,1.1,0,27.5,5.62,11.94,0,0,1,0,204.8,12.35
10.30,4645.5,93.64,3.45,1.2,0,28,5.75,11.94,0,0,1,0,204.8,12.35
10.41,4685.25,93.51,3.48,1.23,0,28,5.78,11.94,0,0,1,0,204.8,12.24
10.52,4740,93.12,3.53,1.21,0,28.5,5.25,11.83,0,0,1,-0.65,204.8,12.24
10.62,4813.75,92.9,3.51,1.17,0,28,5.31,11.83,0,0,1,-0.65,204.8,12.24
10.72,4883.75,92.59,3.49,1.14,0,28.5,5.31,11.71,0,0,1,-0.65,204.8,12.24
10.82,4881.75,92.56,3.55,1.22,0,28.5,5.97,11.94,0,0,1,-0.65,204.8,12.24
10.92,4937,92.12,3.52,1.16,0,29.5,5.97,11.6,0,0,1,0,204.8,12.24
11.02,5009.25,91.95,3.52,1.15,0,29.5,5.97,11.71,0,0,1,0,206.6,12.24
11.12,5051.25,91.83,3.55,1.16,0,29.5,5.97,11.83,0,0.78,1,0,206.6,12.24
11.22,5140.75,92.01,3.56,1.19,0,29.5,5.97,11.83,0,0.78,1,0,206.6,12.24
11.32,5166.25,91.9,3.59,1.15,0,29.5,5.97,11.94,0,0.78,1,0,206.6,12.24
11.42,5185,91.87,3.62,1.19,0,30,5.97,11.94,0,0.78,1,0,206.6,12.24
